Nombre,Apellido,Género,Edad,Endeudamiento,Tipo de pensionista,Delito de mayor gravedad ,Cantidad de hijos,Lugar de residencia,Participación en un voluntariado,Estado civil,Participación anterior,Fumador,Preferencia viaje,Pension anual,Años tributados,Maltrato,Discapacidad
Cebrian,Puente,unknown,77,False,4,0,0,1,False,2,False,0,2,19194,44,False,0
Adela,Villalobos,female,62,False,2,0,1,1,True,1,True,0,4,14941,44,False,0
Guillermo,Lobato,male,69,True,4,0,2,1,False,2,False,0,2,12121,42,False,0
Odalis,Bermudez,mostly_female,62,False,5,0,2,1,False,2,True,0,2,13244,41,False,0
Leoncio,Pascual,male,61,False,2,0,1,4,False,2,True,0,4,17947,41,False,2
Cosme,Casado,male,72,False,3,0,1,1,False,3,False,0,4,19083,37,False,0
Angelica,Mariscal,female,58,True,5,0,5,1,False,2,False,0,4,20480,40,False,0
Valentin,Mayol,male,61,False,5,0,4,1,True,1,False,0,1,11812,41,False,0
Heraclio,Figuerola,male,68,True,6,0,0,4,True,2,False,0,2,18169,41,False,0
Sergio,Belda,male,66,False,6,0,2,6,False,1,True,0,3,17205,43,True,3
Olga,Neira,female,62,False,1,0,1,1,True,2,True,0,2,23846,44,False,3
Leopoldo,Elorza,male,73,True,5,0,1,1,False,1,False,0,2,14834,38,False,1
Nydia,Cervantes,female,79,False,4,2,4,1,False,2,False,0,1,21344,44,False,0
Juan Antonio,Balaguer,unknown,62,False,2,0,2,1,False,1,False,0,3,19341,33,False,0
Febe,Miguel,unknown,63,False,3,0,2,1,False,2,True,0,4,13611,40,False,0
Ani,Peláez,female,63,False,3,0,3,1,False,2,False,0,4,26638,41,False,0
Maximiliano,Pujadas,male,73,False,6,0,2,1,False,3,False,0,3,13884,40,False,1
Prudencio,Priego,male,66,True,2,0,2,1,False,3,False,0,4,24490,41,False,0
Carmelita,Naranjo,female,73,False,5,0,0,1,False,2,False,1,5,19914,42,False,3
Apolonia,Castellanos,female,58,False,4,0,1,1,False,2,False,0,3,11215,21,False,0
Juanita,Vila,female,64,True,3,0,3,1,False,2,False,0,3,16550,43,False,3
Celestina,Sanmartín,female,77,True,1,0,0,1,False,3,False,1,5,11714,40,False,0
Calixta,Tejedor,female,63,True,1,0,2,1,False,2,False,0,2,13760,43,False,0
Daniel,Vilanova,male,64,False,4,0,1,1,False,2,False,0,5,24860,39,False,0
Ariadna,Carreño,female,74,True,4,0,1,1,True,3,False,0,4,18316,42,False,0
Mateo,Ortuño,male,58,True,5,0,2,1,True,1,False,0,4,16292,42,False,3
Cleto,Contreras,male,65,True,5,0,2,1,False,2,False,0,5,13518,44,False,1
Roldan,Lara,unknown,58,False,4,0,2,1,True,2,True,1,4,17610,22,False,0
Jordan,Catalán,male,90,False,5,0,0,1,False,2,False,0,4,41717,40,False,2
Andrea,Huertas,female,58,True,6,0,2,1,True,2,False,0,4,16906,41,False,1
Alexandra,Nogueira,female,58,False,1,0,0,1,False,3,False,1,2,25249,42,False,3
Leticia,Pera,female,68,False,4,0,1,1,False,2,False,0,1,18517,24,False,0
Jonatan,Ocaña,unknown,69,True,1,0,0,1,True,2,False,0,2,26903,28,False,0
Nazaret,Cabello,unknown,76,True,1,0,1,1,False,2,False,0,4,23926,43,False,0
Maria Jesus,Cases,unknown,77,False,3,0,0,4,True,3,False,0,1,20904,30,False,0
Cayetano,Martinez,male,91,False,5,0,1,1,False,3,False,0,3,17860,42,False,0
Juliana,Batlle,female,75,False,2,0,1,1,False,2,False,0,3,19674,21,False,0
Jimena,Colom,female,77,False,1,0,2,1,True,3,False,0,1,20245,42,False,0
Adolfo,Viana,male,83,True,3,0,0,1,False,1,False,1,3,20091,42,False,0
Candida,Sancho,female,64,False,3,0,0,1,True,2,False,0,3,33140,40,False,0
Felisa,Aguiló,female,73,False,4,0,2,1,False,3,False,0,2,24392,41,False,0
Tiburcio,Ramis,male,93,False,6,0,2,2,True,1,False,0,1,14177,20,False,0
Cristian,Peiró,male,77,False,1,0,8,4,False,2,False,0,2,11583,41,False,0
Nieves,Heras,female,63,False,2,0,1,1,False,2,False,0,4,23427,39,False,3
Amor,Torrens,female,65,True,3,3,1,1,True,3,False,0,3,14451,42,False,0
Fabiana,Goñi,female,71,False,3,0,2,1,False,3,False,0,4,19704,34,False,0
Eli,Estévez,female,75,False,2,0,2,4,True,3,False,0,4,14332,40,False,0
Haroldo,Benavent,unknown,60,False,4,0,2,1,False,1,False,0,2,13508,34,False,0
Teodoro,Castro,male,61,False,6,0,2,1,True,3,True,0,4,14912,30,False,3
Faustino,Sobrino,male,70,False,5,0,1,1,False,1,False,0,3,17934,42,False,0
Victoriano,Ferrer,male,97,False,5,0,0,1,False,1,False,0,3,16265,28,False,0
Olegario,Oliveras,male,61,True,6,0,0,2,False,2,True,0,1,15210,33,False,0
Lilia,Casanova,female,67,False,2,0,0,1,False,2,False,0,2,11592,22,False,0
Julie,Bárcena,female,63,True,1,0,1,1,False,2,False,0,3,13896,39,False,0
Martin,Sanabria,male,61,False,4,0,1,4,False,2,False,1,2,23349,27,False,0
Rosaura,Balaguer,unknown,66,False,2,0,2,1,True,2,False,0,1,18687,42,False,0
Calisto,Egea,male,82,False,4,0,3,4,False,3,False,0,4,24642,23,False,0
Martin,Saavedra,male,61,False,4,0,5,1,True,2,False,0,1,15296,44,False,3
Liliana,Herrero,female,67,False,5,0,0,1,True,2,False,0,1,31045,29,False,2
Adan,Morillo,male,71,False,1,0,1,1,False,2,True,0,4,26364,41,False,0
Pilar,Barral,female,77,False,4,0,2,1,False,3,False,0,2,23793,29,False,0
Narciso,Roca,male,68,False,4,0,2,2,True,2,True,1,4,20290,43,False,0
Eutimio,Borrego,male,58,True,5,0,4,1,False,3,False,1,3,11365,44,False,0
Valero,Laguna,unknown,61,False,2,0,1,1,False,2,False,0,5,15915,42,False,3
Leandro,Ariño,male,79,False,1,0,2,1,False,2,False,0,3,19833,41,False,0
Dominga,Crespo,female,75,False,5,0,2,1,False,3,True,0,4,17396,41,False,0
Encarnacion,Galván,unknown,59,False,4,0,2,1,False,2,False,0,5,17149,30,False,0
Iban,Huerta,male,69,False,1,0,2,1,False,2,False,0,4,20577,43,False,0
Berta,Mariño,female,92,False,1,0,2,1,False,3,False,0,3,15242,27,False,1
Adolfo,Cabo,male,68,False,3,0,2,1,True,3,False,0,4,14088,42,False,0
Chus,Dávila,unknown,68,False,6,0,2,4,False,2,False,0,1,17559,35,False,0
Dario,Nevado,male,71,False,3,0,0,1,True,2,False,0,3,16004,43,False,0
Espiridion,Rueda,unknown,71,False,5,0,2,1,False,2,False,0,3,11321,37,False,0
Herminio,Paredes,male,67,False,6,0,5,4,False,2,False,1,1,19187,41,False,3
Carmina,Gabaldón,female,81,False,2,0,2,2,True,2,False,0,5,17545,43,False,3
Judith,Almagro,female,65,False,6,0,2,1,False,2,False,0,3,17001,41,False,0
Valero,Gutierrez,unknown,61,False,4,0,7,1,True,2,False,0,2,22708,39,False,3
Julio Cesar,Gallardo,unknown,71,False,4,0,1,4,False,2,True,0,2,20757,40,False,0
Guillermo,Palomino,male,69,False,4,0,2,1,True,1,False,0,5,14029,33,False,0
Cayetano,Palomo,male,71,False,3,0,2,4,False,3,True,0,3,12960,35,False,0
Gaston,Solana,male,61,True,3,0,6,1,True,3,False,0,5,16442,16,False,2
Amada,Sans,female,77,False,1,0,5,1,False,3,False,1,4,31319,43,False,0
Josue,Sastre,male,62,False,4,0,2,4,False,2,False,0,4,16853,43,False,0
Isabela,Adán,female,61,True,6,0,0,4,False,2,False,0,5,11361,41,False,2
Demetrio,Palomares,male,68,True,2,0,0,4,False,2,True,0,2,20833,42,False,3
Eva Maria,Rocamora,unknown,65,False,2,0,1,1,True,2,False,1,4,14102,28,False,0
Arturo,Vilanova,male,59,False,1,0,2,1,True,2,False,0,2,14136,37,False,3
Tere,Mir,female,73,False,2,0,2,1,True,3,False,0,1,30352,39,False,3
Maria Belen,Cabeza,unknown,66,False,1,0,1,1,True,2,False,0,1,31949,35,False,0
Martina,Egea,female,65,False,6,0,2,1,False,3,False,0,4,11843,44,False,0
Nereida,Moll,female,61,True,3,0,1,4,False,2,True,0,3,17625,43,False,0
Rafael,Sevillano,male,62,False,4,0,0,1,False,1,False,0,2,14353,41,False,3
Noelia,Agudo,female,72,False,5,0,1,1,True,3,False,0,3,18569,41,False,2
Ileana,Ribes,female,66,False,2,0,1,4,True,3,True,0,1,30958,43,False,3
Vanesa,Castells,female,69,True,5,0,2,1,False,1,False,0,3,22754,39,False,0
Agapito,Pedraza,male,89,False,3,0,2,1,True,3,False,0,5,38520,41,False,3
Albano,Artigas,male,63,True,6,0,5,1,False,2,False,0,3,21286,44,False,0
Porfirio,Garcés,male,62,False,3,0,0,6,True,2,False,0,3,13673,41,False,0
Alfredo,Abad,male,83,False,4,0,1,1,False,3,False,0,4,14404,43,False,0
Amalia,Vallés,female,80,False,3,0,1,4,False,1,False,0,4,17122,37,False,0
Rodrigo,Mas,male,72,True,5,0,0,1,True,3,True,0,5,18826,43,False,0
Seve,Pombo,male,71,False,1,0,1,1,False,2,False,0,1,18784,42,False,0
Graciano,Briones,male,60,True,3,0,2,1,False,3,False,0,5,20371,42,False,0
Jenaro,Sobrino,male,68,False,3,0,2,1,False,3,False,0,1,22755,39,False,0
Brunilda,Aragón,female,62,False,6,0,1,4,False,1,False,0,2,16576,44,False,0
Herberto,Requena,male,63,True,2,0,2,4,False,3,False,0,1,31485,38,False,0
Aureliano,Ribes,male,80,False,1,0,6,1,False,2,True,0,4,31942,18,False,0
Goyo,Olmo,unknown,60,False,1,0,2,1,True,2,False,0,5,21270,42,False,0
Olegario,Vélez,male,67,False,5,0,1,1,True,2,False,1,3,25059,24,False,3
Nacio,Chamorro,unknown,70,False,2,0,2,4,True,3,False,0,3,15610,29,False,3
Melania,Tello,female,67,False,6,0,1,4,False,2,False,0,2,19470,44,False,0
Maria Del Carmen,Frías,unknown,70,True,2,0,1,4,True,2,False,0,3,14191,35,False,0
Ursula,Infante,female,61,False,3,0,2,4,True,2,False,0,3,24366,42,False,0
Teofila,Acosta,female,63,False,4,0,2,1,False,1,False,0,1,18506,42,False,0
Yaiza,Girona,unknown,61,False,2,0,2,1,False,1,False,0,5,16067,42,False,2
Trinidad,Santamaría,female,66,False,2,0,2,4,True,2,False,0,3,11876,42,False,0
Encarnacion,Puga,unknown,74,False,1,0,2,2,False,2,False,0,4,20471,42,False,0
Rogelio,Montes,male,61,True,3,0,2,1,False,2,False,0,1,17604,36,False,0
Adelaida,Guerrero,female,64,False,5,0,2,1,True,2,False,0,4,17225,41,False,0
Adela,Aguirre,female,69,False,6,0,2,1,True,3,False,0,5,26861,44,False,0
Amor,Ugarte,female,64,False,3,2,0,1,False,2,False,0,4,13287,41,False,3
Esmeralda,Durán,female,76,False,6,0,0,1,False,2,True,1,4,14801,41,False,0
Pastor,Esteve,male,58,False,3,0,2,1,False,3,False,0,4,12865,36,False,0
Maria Jose,Cerro,unknown,84,False,2,0,2,1,False,2,False,0,3,21550,40,False,3
Galo,Arana,male,77,False,2,0,3,2,True,3,False,0,4,34308,35,False,0
Onofre,Sebastián,unknown,76,False,3,0,2,1,True,2,False,0,4,18027,41,False,0
Haydee,Abril,female,70,False,5,0,1,1,False,3,False,0,2,11606,17,False,1
Fanny,Goñi,female,69,False,3,0,1,4,False,1,False,0,4,19486,41,False,3
Ligia,Alfaro,female,65,False,5,0,5,1,True,3,False,0,3,25820,44,False,0
Graciana,Mayo,female,79,False,2,0,0,1,False,2,False,0,3,35499,22,False,0
Evelia,Mariño,female,69,False,1,0,2,1,True,2,False,0,4,20621,43,False,0
Samu,Correa,male,58,False,1,0,1,1,False,3,True,0,2,12452,41,False,2
Emilio,Losada,male,70,False,2,0,1,1,True,2,False,0,1,23327,41,False,0
Marcia,Fernandez,female,60,False,4,0,2,1,True,2,False,0,3,21252,35,False,3
Eusebia,Daza,female,64,False,4,0,2,1,False,2,False,0,2,20795,18,False,0
Demetrio,Nadal,male,65,False,1,0,2,1,False,3,False,0,3,20171,38,False,0
Maria Manuela,Gordillo,unknown,83,False,2,0,2,1,True,2,False,0,3,14753,40,False,3
Rosario,Olivares,male,75,False,3,0,2,1,False,2,False,0,4,25030,42,False,0
Alfonso,González,male,82,False,2,0,1,1,False,3,True,0,4,13935,43,False,3
Rufino,Llorente,male,84,False,5,0,2,1,False,2,False,0,3,17947,43,False,2
Ivan,Diéguez,male,67,False,2,0,1,2,False,3,False,0,1,20056,17,False,0
Rocio,Benavent,unknown,60,False,4,0,0,1,False,2,False,0,3,13953,36,False,0
Marciano,Ferrer,male,60,False,1,0,1,2,False,2,False,1,3,15145,42,False,1
Purificacion,Cózar,unknown,73,False,1,0,2,1,True,1,False,0,4,20890,42,False,0
Viviana,Moles,female,59,False,3,0,1,1,False,2,False,0,2,16111,38,False,2
Wilfredo,Cabo,male,78,False,4,0,4,1,False,2,False,0,2,25238,43,False,0
Graciano,Velázquez,male,61,False,1,0,0,1,False,2,False,0,2,21732,37,False,0
Eric,Torrecilla,male,69,False,3,0,1,4,False,2,False,1,3,13672,36,False,0
Ruth,Riba,female,70,True,5,0,2,2,True,2,True,0,2,21252,15,False,0
Flavio,Jurado,male,70,True,3,0,2,2,False,2,False,0,2,32305,43,False,0
Trinidad,Orozco,female,72,False,2,0,1,1,False,2,False,0,1,23185,43,False,0
Fulgencio,Boix,male,73,False,1,0,1,1,False,2,False,0,5,18631,25,False,0
Natalia,Montero,female,69,False,1,0,2,1,True,2,False,0,3,13003,39,False,0
Alonso,Antúnez,male,70,True,4,0,2,1,False,2,False,1,4,27719,37,False,0
Chema,Heredia,unknown,80,False,2,0,1,1,False,3,False,0,4,18481,40,False,0
Isaias,Ropero,male,69,False,6,0,1,4,True,2,True,0,5,19690,43,False,0
Antonio,Nuñez,male,63,False,2,0,2,4,False,2,False,0,3,20980,41,False,0
Lucia,Guerrero,female,60,False,6,0,2,1,False,3,True,0,3,20941,43,False,0
Telmo,Marqués,male,59,False,6,0,7,4,False,2,False,0,2,31849,41,False,0
Ciriaco,Losa,male,62,True,1,0,2,1,True,2,False,0,4,11497,43,False,0
Bibiana,Rosa,female,69,False,3,0,1,1,True,2,False,0,2,17143,39,False,2
Gustavo,Vendrell,male,74,True,2,0,0,1,False,2,False,1,4,12247,34,False,0
Narciso,Machado,male,66,True,5,0,0,2,False,2,False,0,1,17524,32,False,0
Amarilis,Avilés,female,79,False,1,0,0,1,False,2,False,0,2,14230,44,False,0
Nicodemo,Barón,male,80,True,6,0,4,1,True,1,False,0,5,13914,20,False,0
Armando,Barco,male,77,False,3,0,2,4,True,1,False,0,4,37774,27,False,3
Victorino,Fuster,male,63,False,2,0,4,4,True,2,False,0,2,21430,43,False,0
Aurelio,Narváez,male,59,False,4,0,2,1,False,3,False,0,3,21386,40,False,0
Ariadna,Berenguer,female,72,False,4,0,2,1,False,2,True,0,3,16025,43,False,0
Leon,Garcés,male,73,False,3,0,2,1,False,1,True,0,2,12090,15,False,0
Belen,Vargas,unknown,72,False,2,0,2,1,False,1,False,0,3,21202,36,False,0
Olalla,Baró,female,71,False,5,0,1,4,False,2,False,0,3,41424,23,False,0
Albina,Machado,female,67,False,6,0,1,1,False,2,True,0,3,20668,41,False,0
Martina,Bueno,female,78,False,1,0,0,4,True,3,False,0,4,20252,40,False,1
Juan Pablo,Velázquez,unknown,58,False,5,0,1,1,True,2,False,0,4,20129,28,False,1
Faustino,Navarro,male,63,False,1,0,1,1,False,2,False,0,4,15709,34,False,0
Baltasar,Pina,male,89,False,4,0,2,1,False,2,False,0,5,13060,43,False,0
Nazario,Blanch,male,71,False,5,0,1,1,False,2,False,1,3,19389,43,False,0
Alfonso,Pujol,male,62,False,4,0,1,1,False,3,False,0,1,18540,43,False,0
Feliciano,Duque,male,80,False,4,0,0,1,False,2,False,1,1,12698,40,False,0
Maxi,Peñas,mostly_female,76,False,5,0,2,1,False,2,False,0,2,14687,18,False,0
Elpidio,Pujadas,male,59,True,1,0,1,1,True,3,False,0,4,22949,44,False,0
Milagros,Bou,female,81,False,6,0,8,1,True,2,False,0,4,17645,41,False,3
Pancho,Tur,male,72,False,6,0,1,1,False,2,False,0,3,17734,39,False,2
Onofre,Aller,unknown,71,False,6,0,1,1,True,3,False,0,2,20797,37,False,3
Aitana,Bernal,female,64,False,3,0,8,1,False,3,False,0,5,18684,39,False,0
Alondra,Paredes,female,96,False,1,0,2,1,False,2,False,0,2,15334,21,False,0
Ambar,Zorrilla,unknown,94,False,3,0,0,4,True,2,False,0,2,27770,32,False,0
Francisco Jose,Pedrosa,unknown,67,False,5,0,1,1,False,2,False,0,5,17846,43,False,3
Adelardo,Arteaga,unknown,83,False,6,0,0,1,False,2,False,0,4,19625,40,False,0
Ariel,Navarrete,male,65,False,3,0,1,4,False,2,False,0,4,31511,42,False,0
Julian,Lucas,male,69,False,3,0,3,1,False,2,False,0,1,20639,42,False,3
Efrain,Carrión,male,61,False,3,0,1,1,True,2,False,0,1,29814,42,False,0
Paula,Colomer,female,67,False,1,0,2,1,True,1,False,0,4,18159,41,False,3
Juana,Simó,female,60,True,4,0,1,1,False,2,True,0,4,17030,44,False,0
Miguel Angel,Torrent,unknown,62,True,5,0,1,1,False,2,False,1,2,15919,19,False,0
Rafael,Calvet,male,58,False,6,0,0,1,True,2,True,0,4,20438,31,False,0
Jose Antonio,Pedraza,unknown,59,True,6,0,2,1,False,2,True,0,3,14014,41,False,3
Evaristo,Escrivá,male,68,False,1,0,2,1,True,2,False,0,1,12820,29,False,3
Adelardo,Ferrer,unknown,94,False,6,0,0,4,False,2,True,0,4,20310,37,False,0
Cipriano,Calderon,male,78,True,6,0,1,2,False,1,False,0,5,25102,42,False,0
Abril,Ortiz,unknown,60,False,4,0,1,1,False,3,True,1,2,19450,43,False,0
Reyes,Cerro,female,63,False,2,0,2,1,False,2,False,0,4,12527,35,False,0
Imelda,Cisneros,female,74,False,3,0,2,4,True,3,False,0,2,24744,28,False,3
Rico,Cid,male,84,False,6,2,2,1,False,3,False,0,4,22549,42,False,0
Petrona,Morera,female,58,False,1,0,1,1,False,2,False,0,2,13476,43,False,0
Jose Luis,Sanjuan,unknown,77,False,5,0,4,2,True,1,False,0,4,27901,18,False,0
Sergio,Echeverría,male,66,False,3,0,1,1,False,3,False,0,3,18852,44,True,3
Cosme,Carbonell,male,69,False,2,0,0,4,False,2,False,0,4,11043,42,False,0
Evita,Hurtado,female,60,False,2,0,0,1,False,2,False,0,4,15191,16,False,0
Jose Manuel,Donoso,unknown,80,True,6,0,4,1,False,2,False,0,1,39884,32,False,0
Maria Belen,Perea,unknown,73,True,3,0,1,4,False,2,False,0,4,13987,40,False,0
Baltasar,Pomares,male,64,True,1,0,1,1,True,3,True,0,3,21821,43,False,0
Rodolfo,Anaya,male,75,False,1,0,2,4,False,1,False,0,1,23411,29,False,2
Elias,Barba,male,79,False,4,0,1,1,False,3,False,0,4,24440,41,False,2
Guadalupe,Barón,female,60,False,3,0,1,2,False,1,False,0,3,13898,33,False,3
Brigida,Amaya,female,61,False,1,0,2,1,True,3,False,0,2,12795,41,False,0
Lope,Verdejo,male,68,False,5,0,2,4,False,1,False,0,1,16629,44,True,0
Kike,Rodriguez,unknown,65,False,1,0,2,1,True,2,False,0,5,20916,21,False,3
Elba,Haro,unknown,76,True,2,0,1,1,False,2,False,0,4,23488,39,False,2
Florentino,Barragán,male,65,True,5,0,2,1,True,3,False,0,3,15872,43,False,0
Adelina,Coronado,female,59,False,6,0,2,1,False,3,False,1,1,12358,43,False,2
Marcelino,Jódar,male,63,False,5,0,2,4,True,2,False,0,4,18484,43,False,0
Severo,Mateos,male,59,True,5,0,0,1,True,2,False,0,4,23473,37,False,0
Maricruz,Múgica,female,68,False,1,0,2,1,False,2,False,0,5,12340,32,False,0
Priscila,Cordero,female,78,False,6,0,2,1,False,2,False,0,3,27006,36,False,0
Nerea,Valero,female,61,False,5,0,2,1,False,3,False,0,3,24607,36,False,0
Brigida,Múñiz,female,61,False,5,0,1,1,True,2,False,0,3,16251,44,False,1
Damian,Sáez,male,78,False,6,0,0,1,False,2,False,0,3,11062,32,False,2
Silvestre,Mendez,male,61,False,2,0,2,1,False,2,False,1,3,11744,34,False,2
Abigail,Jurado,female,94,False,2,0,2,1,False,1,False,0,4,21060,40,False,3
Maite,Prats,female,66,False,1,0,2,4,False,2,False,1,4,20051,38,False,3
Emigdio,Rincón,unknown,69,False,3,0,0,1,True,3,False,0,4,24672,38,False,2
Geraldo,Fábregas,male,75,False,3,0,1,1,False,3,False,0,1,22910,30,False,0
Joaquina,Villa,female,77,False,1,0,1,1,True,2,False,0,2,17748,23,False,0
Ileana,Lledó,female,66,False,2,0,1,1,False,1,True,0,4,24385,43,False,0
Vinicio,Cerdá,male,77,False,5,0,2,1,True,3,False,0,3,20043,34,False,0
Inmaculada,Gaya,female,62,False,4,0,2,4,False,3,False,0,3,29226,22,False,0
Eligia,Giralt,female,71,False,6,0,2,1,False,2,True,0,4,11148,44,False,0
Carmina,Morera,female,68,False,5,0,1,4,True,2,True,0,4,19278,41,False,0
Anselmo,Martínez,male,80,False,4,0,2,1,False,2,False,0,3,16562,42,False,2
Brigida,Pera,female,80,True,4,0,1,1,False,2,False,0,5,12827,40,False,2
Encarnacion,Sotelo,unknown,59,False,2,0,0,1,False,2,False,0,1,12851,38,False,0
Ramona,Roselló,female,58,True,6,0,2,1,False,3,False,1,3,16345,43,False,3
Ani,Cerro,female,60,False,1,0,2,4,False,2,False,0,4,19348,41,False,0
Silvio,Codina,male,89,False,4,0,1,1,False,1,False,0,4,16984,43,False,0
Clarisa,Pablo,female,80,True,3,0,2,1,True,2,False,0,2,14017,43,False,0
Juan Francisco,Infante,unknown,64,False,4,0,0,1,True,2,False,0,4,11258,30,False,2
Chucho,Baquero,unknown,71,False,6,0,1,1,False,2,False,0,3,11456,25,False,3
Teobaldo,Acuña,male,76,True,3,0,0,1,True,3,False,0,2,19334,44,False,3
Reina,Cruz,female,61,False,5,0,2,1,False,2,True,0,4,19055,27,False,0
Gaspar,Cuervo,male,77,True,3,0,1,1,False,2,True,0,1,11776,37,False,0
Griselda,Pereira,female,74,False,5,0,2,1,True,3,True,0,4,12321,31,False,0
Paca,Arias,female,58,True,3,0,1,1,True,1,False,1,2,16321,35,False,0
Angeles,Pizarro,unknown,59,False,2,0,0,1,False,2,False,0,2,14773,32,False,0
Amando,Valbuena,male,95,False,1,0,4,1,False,3,False,0,4,13465,26,False,0
Samanta,Pomares,female,71,False,3,0,8,1,False,2,False,0,2,21539,44,False,3
Evelia,Jerez,female,73,False,5,0,2,1,True,3,False,0,3,15338,40,False,0
Isa,Villegas,female,81,False,3,0,2,1,True,2,False,0,1,27377,41,False,0
Teo,Valle,male,60,False,4,0,2,1,True,3,False,0,4,19665,43,False,3
Bautista,Mayol,male,76,False,3,0,1,2,False,3,False,0,1,12045,34,False,0
Marcelino,Castrillo,male,68,False,1,0,1,1,False,2,False,0,4,13483,42,False,3
Delia,Cardona,female,80,False,4,0,1,1,False,2,False,0,2,18642,40,False,0
Carla,Artigas,female,61,False,2,0,2,1,True,1,False,0,4,19085,29,False,0
Lupita,Arce,female,65,False,5,0,2,1,False,2,False,0,4,17839,44,False,0
Selena,Alegre,female,78,False,2,0,2,1,True,3,False,0,4,16983,40,False,0
Marc,Pozo,male,67,False,1,0,0,1,True,3,False,0,2,19903,41,False,0
Maxi,Ordóñez,mostly_female,76,True,2,0,1,1,True,2,False,0,2,11266,42,False,0
Maria Luisa,Español,unknown,82,True,4,0,2,1,False,2,False,0,1,17420,42,False,0
Mar,Calvet,female,69,True,4,3,6,4,True,2,False,0,1,18842,39,False,0
