viaje_id,jubilado_id,nombre,apellido,edad,pension_anual,años_tributados,numero_propiedades,nacionalidad_española,geografico_id,ciudad,comunidad_autonoma,es_costa,cantidad_hijos,estado_civil,participacion_anterior,maltrato,tipo_discapacidad,enfermedad_nivel,historial_judicial,endeudamiento,participacion_voluntariado,fumador,preferencia_internacional,preferencia_viaje_1,preferencia_viaje_2,preferencia_viaje_3,participacion_activa,mes_ultimo_viaje,puntos
1,64316,Renata,Olivé,100,15959.0,42,1,True,31,Palencia,Castilla y Leon,False,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,63,74,132,False,,42.74
1,86865,Elisa,Muñoz,82,16912.0,44,1,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,84,94,33,False,,42.730000000000004
1,25809,Fabian,Román,74,11793.0,40,1,True,39,Lerida,Cataluna,False,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,True,84,36,99,False,,42.617282327668725
1,88572,Ruth,Llopis,100,15430.0,40,1,True,37,Barcelona,Cataluna,True,5,Viudo,False,False,Grado 3,Leve,Sin delitos,False,True,False,False,140,16,11,False,,42.25
1,64894,Cesar,Linares,82,14249.0,43,1,True,46,La Coruna,Galicia,True,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,True,5,83,16,False,,42.11
1,64311,Cosme,Robledo,81,12922.0,43,1,True,26,Guadalajara,Castilla-La Mancha,False,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,True,36,146,79,False,,42.11
2,31179,Alex,Company,82,11975.0,43,1,True,4,Granada,Andalucia,False,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,True,False,False,7,79,51,False,,45.61
2,49100,Abril,Leon,81,11782.0,39,1,True,22,Santander,Cantabria,True,7,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,False,2,88,69,False,,44.129999999999995
2,25322,Cosme,Jover,77,13349.0,44,2,True,3,Cordoba,Andalucia,False,7,Casado,False,True,Grado 3,Leve,Sin delitos,False,True,False,False,20,135,8,False,,43.062917775298494
2,59477,Sebastian,Luján,67,14811.0,43,1,True,43,Valencia,Comunidad Valenciana,True,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,2,120,48,False,,42.49784744164585
2,22011,Mar,Torrents,82,12042.0,38,2,True,37,Barcelona,Cataluna,True,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,37,48,5,False,,42.01
2,9961,Marcos,Iglesia,79,11204.0,43,1,True,43,Valencia,Comunidad Valenciana,True,7,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,95,149,61,False,,41.86
2,82364,Eladio,Jurado,77,14116.0,42,2,True,4,Granada,Andalucia,False,6,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,46,136,139,False,,41.82291777529849
2,1745,Leocadia,Gibert,81,15254.0,42,1,True,55,Alava,Pais Vasco,False,6,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,True,False,False,71,37,107,False,,41.74
2,45401,Nuria,Ibáñez,81,20241.0,41,1,True,43,Valencia,Comunidad Valenciana,True,6,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,146,91,90,False,,41.62
2,44659,Teodosio,Bejarano,98,14815.0,41,1,True,43,Valencia,Comunidad Valenciana,True,7,Casado,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,2,140,84,False,,41.62
2,5886,Rafaela,Castillo,74,12152.0,44,2,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,True,False,32,62,148,False,,41.59728232766872
2,76056,Armida,Osuna,75,13144.0,42,1,True,39,Lerida,Cataluna,False,7,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,139,11,51,False,,41.59022009948851
2,2991,Gabino,Ochoa,79,15422.0,32,2,True,37,Barcelona,Cataluna,True,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,3,91,122,False,,41.54
2,70786,Fanny,Merino,83,13451.0,38,2,True,8,Sevilla,Andalucia,False,8,Casado,False,False,Grado 1,Leve,Sin delitos,False,False,False,False,2,39,64,False,,41.51
2,30126,Jose Manuel,Egea,82,21434.0,44,2,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,10,143,107,False,,41.480000000000004
2,72702,Jacinto,Boada,77,11082.0,41,3,True,59,Melilla,Melilla,True,6,Viudo,False,False,Grado 3,Leve,Sin delitos,False,True,False,False,117,56,114,False,,41.452917775298495
2,80785,Aurelia,Estévez,72,15512.0,42,1,True,24,Ciudad Real,Castilla-La Mancha,False,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,True,10,129,137,False,,41.40790956163169
2,34052,Nacio,Talavera,76,15782.0,42,1,True,4,Granada,Andalucia,False,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,142,124,60,False,,41.32874371271182
2,41596,Valero,Blanch,76,18968.0,42,1,True,22,Santander,Cantabria,True,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,60,110,68,False,,41.32874371271181
2,59416,Heliodoro,Roura,92,11930.0,40,2,True,43,Valencia,Comunidad Valenciana,True,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,116,150,92,False,,41.25
2,54925,Olalla,Pintor,86,13359.0,44,1,True,19,Santa Cruz de Tenerife,Canarias,True,6,Casado,False,False,Grado 0,Media,Sin delitos,False,True,False,False,88,40,126,False,,41.230000000000004
2,32478,Jose Ignacio,Comas,79,16867.0,43,0,True,26,Guadalajara,Castilla-La Mancha,False,7,Viudo,False,False,Grado 1,Ninguna,Sin delitos,False,True,True,False,9,74,140,False,,41.11
2,95859,Baltasar,Arteaga,83,20273.0,43,1,True,37,Barcelona,Cataluna,True,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,133,84,57,False,,41.11
3,82126,Maria Luisa,Blanco,90,11681.0,43,1,True,42,Castellon,Comunidad Valenciana,True,6,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,True,3,150,69,False,,44.36
3,59358,Gilberto,Valcárcel,93,13383.0,43,1,True,56,Guipuzcoa,Pais Vasco,True,5,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,False,3,1,13,False,,42.11
3,27335,Urbano,Juliá,82,21425.0,40,1,True,51,Madrid,Comunidad de Madrid,False,7,Casado,False,False,Grado 3,Leve,Sin delitos,False,True,False,False,143,3,107,False,,41.75
3,95379,Jose Luis,Hernandez,83,16051.0,41,1,True,43,Valencia,Comunidad Valenciana,True,5,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,3,150,78,False,,41.12
3,77909,Miguel,Pavón,78,15656.0,38,0,True,22,Santander,Cantabria,True,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,67,102,31,False,,41.0928076424886
3,14001,Leonor,Iglesias,76,11042.0,42,4,True,23,Albacete,Castilla-La Mancha,False,6,Viudo,False,False,Grado 0,Leve,Leve,False,True,False,False,3,53,83,False,,41.07874371271181
3,47092,Hortensia,Ureña,79,15250.0,44,2,True,37,Barcelona,Cataluna,True,4,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,147,59,53,False,,40.980000000000004
3,55681,Ambrosio,Posada,91,11770.0,44,2,True,43,Valencia,Comunidad Valenciana,True,5,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,True,False,False,118,94,131,False,,40.980000000000004
3,77455,Trinidad,Garcia,84,21497.0,43,1,True,22,Santander,Cantabria,True,8,Casado,False,False,Grado 2,Leve,Sin delitos,False,True,False,True,83,19,127,False,,40.86
3,6538,Trinidad,Calleja,80,12916.0,43,2,True,3,Cordoba,Andalucia,False,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,True,67,144,103,False,,40.86
3,74137,Anita,Ortuño,76,16694.0,44,1,True,37,Barcelona,Cataluna,True,5,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,105,3,64,False,,40.818743712711814
3,25557,Celestina,Román,81,12526.0,44,2,True,23,Albacete,Castilla-La Mancha,False,8,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,98,56,87,False,,40.730000000000004
3,26246,Vanesa,Guijarro,80,14114.0,41,0,True,14,Mallorca,Islas Baleares,True,4,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,8,52,39,False,,40.62
4,34546,Ema,Zamora,79,11883.0,35,1,True,6,Jaen,Andalucia,False,8,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,False,4,29,94,False,,43.9
4,31344,Eligio,Agustí,80,14015.0,44,1,True,8,Sevilla,Andalucia,False,1,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,4,29,20,False,,43.480000000000004
4,54408,Lazaro,Coello,93,13680.0,44,1,True,3,Cordoba,Andalucia,False,5,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,4,50,99,False,,43.230000000000004
4,90925,Teodora,Carpio,82,15170.0,42,1,True,45,Caceres,Extremadura,False,4,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,108,4,82,False,,42.24
4,12109,Elba,Carreño,76,13866.0,41,2,True,8,Sevilla,Andalucia,False,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,True,False,4,21,118,False,,42.208743712711815
4,96178,Felicidad,Ureña,75,15659.0,43,1,True,38,Gerona,Cataluna,False,5,Casado,False,False,Grado 1,Media,Sin delitos,False,True,False,False,81,4,98,False,,40.71022009948851
4,69956,Pascuala,Hernando,79,19882.0,43,1,True,51,Madrid,Comunidad de Madrid,False,6,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,55,141,31,False,,40.61
4,78327,Lourdes,Jara,100,15123.0,43,1,True,55,Alava,Pais Vasco,False,5,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,139,58,91,False,,40.61
4,48879,Casandra,Carballo,74,12671.0,44,1,True,53,Cartagena,Region de Murcia,True,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,49,19,77,False,,40.59728232766872
4,35824,Adora,Carretero,79,16711.0,38,1,True,38,Gerona,Cataluna,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,True,7,49,68,False,,40.51
4,80644,Calixto,Alcalde,88,13865.0,42,1,True,51,Madrid,Comunidad de Madrid,False,7,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,6,26,75,False,,40.49
4,6986,Romulo,Villegas,79,19021.0,44,1,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,147,141,93,False,,40.480000000000004
4,11570,Rocio,Pou,75,13587.0,41,1,True,22,Santander,Cantabria,True,5,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,True,140,76,98,False,,40.470220099488515
4,25660,Reyna,Ferreras,78,14621.0,43,1,True,6,Jaen,Andalucia,False,8,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,True,117,128,138,False,,40.4428076424886
4,9637,Luciano,Bueno,79,19393.0,43,2,True,43,Valencia,Comunidad Valenciana,True,8,Soltero,False,False,Grado 0,Media,Sin delitos,False,True,False,True,32,109,143,False,,40.36
4,81116,Goyo,Contreras,76,11391.0,44,1,True,44,Badajoz,Extremadura,False,1,Viudo,False,False,Grado 3,Ninguna,Sin delitos,False,False,False,False,4,141,136,False,,40.318743712711814
4,55854,Angelica,Jódar,72,19635.0,43,1,True,48,Orense,Galicia,True,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,129,96,75,False,,40.27790956163169
5,20208,Ruy,Amador,98,15674.0,43,1,True,43,Valencia,Comunidad Valenciana,True,5,Casado,False,False,Grado 3,Ninguna,Sin delitos,False,True,True,False,5,127,68,False,,42.36
5,6246,Americo,Huguet,86,14845.0,44,1,True,1,Almeria,Andalucia,True,1,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,5,56,21,False,,41.730000000000004
5,18010,Armida,Amo,78,11700.0,43,1,True,30,Leon,Castilla y Leon,False,8,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,False,102,113,66,False,,41.4428076424886
5,50179,Juan Francisco,Berrocal,82,11901.0,40,2,True,51,Madrid,Comunidad de Madrid,False,4,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,40,5,71,False,,41.25
5,40487,Otilia,Meléndez,84,12860.0,43,2,True,51,Madrid,Comunidad de Madrid,False,2,Viudo,False,False,Grado 1,Media,Sin delitos,False,False,False,False,5,1,146,False,,41.11
5,4920,Marina,Soler,77,13359.0,38,2,True,43,Valencia,Comunidad Valenciana,True,6,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,5,50,94,False,,41.092917775298496
5,42413,Atilio,Corral,58,18358.0,44,1,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,5,78,27,False,,40.83
5,48523,Abigail,Tenorio,91,18126.0,43,0,True,43,Valencia,Comunidad Valenciana,True,4,Soltero,False,False,Grado 0,Media,Sin delitos,False,False,False,False,5,120,62,False,,40.36
5,89684,Manuela,Goicoechea,97,11632.0,42,1,True,15,Menorca,Islas Baleares,True,5,Casado,False,False,Grado 0,Media,Sin delitos,False,True,False,False,31,91,125,False,,40.24
5,10293,Oscar,Barriga,100,14913.0,42,2,True,8,Sevilla,Andalucia,False,2,Viudo,False,True,Grado 0,Media,Sin delitos,False,True,False,False,124,101,12,False,,40.24
5,43672,Aranzazu,Roura,97,15459.0,31,1,True,21,La Gomera,Canarias,True,6,Viudo,False,False,Grado 3,Leve,Sin delitos,False,True,False,False,39,86,149,False,,40.17
5,23036,Eutropio,Rojas,67,11924.0,42,1,True,40,Tarragona,Cataluna,True,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,116,29,39,False,,40.127847441645855
5,97638,Paulina,Cuadrado,80,13092.0,43,1,True,51,Madrid,Comunidad de Madrid,False,7,Casado,False,False,Grado 0,Media,Sin delitos,False,True,True,False,60,108,129,False,,40.11
5,11302,Calixto,Asensio,82,14614.0,43,1,True,24,Ciudad Real,Castilla-La Mancha,False,2,Viudo,False,True,Grado 0,Leve,Sin delitos,False,True,False,False,97,49,136,False,,40.11
5,62188,Lupe,Granados,76,12212.0,42,1,True,6,Jaen,Andalucia,False,7,Viudo,False,False,Grado 1,Leve,Sin delitos,False,False,False,True,86,8,88,False,,40.07874371271181
5,44523,Marco,Falcó,84,14851.0,42,0,True,8,Sevilla,Andalucia,False,6,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,12,119,97,False,,39.99
5,32495,Ingrid,Bernal,81,12632.0,44,1,True,6,Jaen,Andalucia,False,5,Casado,False,False,Grado 0,Media,Sin delitos,False,True,False,False,97,28,18,False,,39.980000000000004
5,62767,Sarita,Aliaga,78,19714.0,41,2,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,92,40,94,False,,39.9528076424886
6,27642,Porfirio,Jover,100,15560.0,41,2,True,8,Sevilla,Andalucia,False,3,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,73,6,63,False,,44.62
6,94532,Saturnina,Godoy,79,17436.0,38,0,True,25,Cuenca,Castilla-La Mancha,False,1,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,6,17,141,False,,44.01
6,19674,Anunciacion,Calvet,79,16138.0,42,1,True,47,Lugo,Galicia,True,8,Casado,False,False,Grado 0,Ninguna,Sin delitos,False,True,False,False,6,86,76,False,,43.74
6,21882,Hilario,Pizarro,78,15395.0,33,1,True,51,Madrid,Comunidad de Madrid,False,8,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,116,6,60,False,,43.4928076424886
6,49903,Rosalina,Jordá,94,11080.0,31,0,True,51,Madrid,Comunidad de Madrid,False,7,Casado,False,False,Grado 0,Media,Sin delitos,False,True,False,False,143,53,105,False,,43.42
6,86692,Marcial,Cabo,79,18662.0,41,1,True,51,Madrid,Comunidad de Madrid,False,6,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,True,118,123,149,False,,43.37
6,17446,Evangelina,Narváez,82,13770.0,44,1,True,27,Toledo,Castilla-La Mancha,False,8,Soltero,False,False,Grado 0,Leve,Sin delitos,False,False,False,True,69,10,149,False,,43.230000000000004
6,23844,Pelayo,Tejada,82,20725.0,44,1,True,38,Gerona,Cataluna,False,5,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,25,145,35,False,,43.230000000000004
6,21029,Tito,Manso,76,12618.0,39,1,True,32,Salamanca,Castilla y Leon,False,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,110,10,57,False,,43.21874371271181
6,95378,Godofredo,Vallejo,79,11280.0,31,1,True,3,Cordoba,Andalucia,False,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,129,114,19,False,,43.17
7,18324,Pelayo,Bonet,82,13221.0,40,2,True,51,Madrid,Comunidad de Madrid,False,8,Casado,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,7,18,112,False,,41.75
7,26920,Eugenia,Cámara,70,15644.0,41,1,True,19,Santa Cruz de Tenerife,Canarias,True,6,Casado,False,False,Grado 3,Leve,Sin delitos,False,True,False,False,7,68,32,False,,41.11012317426763
7,37963,Florinda,Pinto,78,17808.0,43,1,True,42,Castellon,Comunidad Valenciana,True,6,Casado,False,False,Grado 0,Media,Sin delitos,False,False,False,True,7,107,86,False,,40.9428076424886
7,13907,Reyna,Leal,69,12156.0,39,1,True,22,Santander,Cantabria,True,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,89,7,133,False,,40.66417105219813
7,86627,Ines,Menendez,84,18253.0,41,2,True,54,Pamplona,Comunidad Foral de Navarra,True,8,Casado,False,False,Grado 0,Leve,Sin delitos,False,False,False,True,7,20,41,False,,40.12
7,8477,Marcia,Plana,79,20358.0,44,1,True,37,Barcelona,Cataluna,True,8,Casado,True,False,Grado 0,Leve,Sin delitos,False,True,False,False,7,44,24,False,,39.980000000000004
7,86927,Beatriz,Reina,96,14228.0,33,1,True,37,Barcelona,Cataluna,True,8,Soltero,False,False,Grado 0,Media,Sin delitos,False,True,False,True,94,61,132,False,,39.91
7,57231,Eligia,Díaz,79,11951.0,41,1,True,51,Madrid,Comunidad de Madrid,False,2,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,True,7,144,4,False,,39.87
7,26316,Sara,Ferrera,78,15156.0,40,1,True,2,Cadiz,Andalucia,True,5,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,103,74,101,False,,39.8328076424886
7,82850,Inocencio,Mosquera,85,12025.0,40,1,True,1,Almeria,Andalucia,True,6,Casado,False,False,Grado 0,Media,Sin delitos,False,True,False,False,72,37,119,False,,39.75
7,39773,Marcio,Priego,82,13603.0,40,2,True,22,Santander,Cantabria,True,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,49,76,24,False,,39.75
7,61583,Eusebio,Cerdá,84,12805.0,42,2,True,37,Barcelona,Cataluna,True,7,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,52,120,106,False,,39.74
7,17854,Norberto,Pedrero,74,19077.0,41,1,True,37,Barcelona,Cataluna,True,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,True,False,88,71,96,False,,39.73728232766872
7,62223,Sofia,Río,80,12279.0,44,2,True,43,Valencia,Comunidad Valenciana,True,6,Viudo,False,False,Grado 1,Leve,Sin delitos,False,False,False,False,32,146,140,False,,39.730000000000004
7,70276,Otilia,Puga,76,11332.0,43,2,True,37,Barcelona,Cataluna,True,5,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,131,84,126,False,,39.69874371271182
7,3594,Xavier,Cadenas,81,19987.0,37,1,True,17,Formentera,Islas Baleares,True,7,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,96,7,83,False,,39.64
8,7216,Florencio,Montero,83,13401.0,44,1,True,50,Logrono,La Rioja,False,5,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,8,63,117,False,,46.730000000000004
8,81306,Eufemia,Peña,78,12831.0,42,2,True,45,Caceres,Extremadura,False,4,Casado,False,False,Grado 0,Media,Sin delitos,False,True,False,False,8,111,106,False,,44.822807642488605
8,77205,Celia,Baquero,80,12443.0,42,2,True,10,Teruel,Aragon,False,4,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,True,8,128,30,False,,44.49
8,65456,Africa,Gascón,84,13243.0,44,2,True,55,Alava,Pais Vasco,False,2,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,9,8,67,False,,44.480000000000004
8,85160,Marisol,Solís,83,12755.0,37,1,True,51,Madrid,Comunidad de Madrid,False,1,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,True,8,25,135,False,,44.39
8,53853,Cloe,Godoy,77,15144.0,44,2,True,30,Leon,Castilla y Leon,False,2,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,8,35,109,False,,44.312917775298494
8,22809,Dimas,Azcona,83,13260.0,44,1,True,50,Logrono,La Rioja,False,5,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,27,64,8,False,,43.730000000000004
8,77145,Hernan,Maza,93,11786.0,35,1,True,6,Jaen,Andalucia,False,4,Soltero,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,8,45,44,False,,43.4
8,88899,Nazaret,Alemany,84,15825.0,41,1,True,51,Madrid,Comunidad de Madrid,False,7,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,17,125,28,False,,43.12
8,81558,Camila,Peiró,77,15806.0,42,1,True,39,Lerida,Cataluna,False,7,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,108,44,30,False,,43.07291777529849
8,95254,Pascual,Toledo,73,13511.0,41,1,True,51,Madrid,Comunidad de Madrid,False,1,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,8,129,9,False,,43.009866528028226
8,94945,Felipa,Amorós,72,18983.0,44,1,True,51,Madrid,Comunidad de Madrid,False,2,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,True,8,7,111,False,,42.89790956163169
8,13201,Amparo,Cuenca,83,13632.0,43,1,True,45,Caceres,Extremadura,False,2,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,53,120,97,False,,42.86
8,66330,Melisa,Carnero,84,13600.0,43,1,True,8,Sevilla,Andalucia,False,2,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,True,29,34,46,False,,42.86
8,99711,Custodio,Juan,94,16439.0,43,1,True,51,Madrid,Comunidad de Madrid,False,5,Viudo,False,False,Grado 0,Leve,Sin delitos,False,True,False,False,32,100,35,False,,42.86
8,30670,Nelida,Galván,68,15233.0,44,1,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 3,Ninguna,Sin delitos,False,False,False,False,144,88,137,False,,42.81343234494119
8,78056,Isa,Dominguez,78,13110.0,44,1,True,51,Madrid,Comunidad de Madrid,False,4,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,78,109,26,False,,42.81280764248861
8,90997,Asdrubal,Frías,91,12550.0,32,0,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,99,46,45,False,,42.79
8,42958,Maxi,Madrigal,80,15630.0,40,1,True,51,Madrid,Comunidad de Madrid,False,7,Casado,False,False,Grado 0,Leve,Sin delitos,False,True,False,True,89,24,30,False,,42.75
8,58678,Carmen,Cases,81,14607.0,44,1,True,11,Zaragoza,Aragon,False,8,Soltero,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,79,146,68,False,,42.730000000000004
9,51553,Cebrian,Barragán,82,12311.0,43,0,True,11,Zaragoza,Aragon,False,6,Casado,False,False,Grado 0,Ninguna,Leve,False,True,False,False,9,131,141,False,,42.86
9,16616,Maria,Losada,79,11325.0,40,1,True,37,Barcelona,Cataluna,True,6,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,False,False,False,147,9,120,False,,42.0
9,6564,Eli,Vicens,73,12637.0,42,2,True,46,La Coruna,Galicia,True,8,Casado,False,False,Grado 0,Ninguna,Sin delitos,False,True,False,False,9,143,92,False,,41.62986652802823
9,38191,Benigno,Huerta,74,11449.0,42,2,True,27,Toledo,Castilla-La Mancha,False,8,Casado,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,9,36,64,False,,41.10728232766873
9,1939,Adelina,Figueroa,83,18658.0,44,2,True,11,Zaragoza,Aragon,False,7,Casado,False,False,Grado 0,Leve,Sin delitos,False,False,False,True,9,111,31,False,,39.980000000000004
9,65750,Nereida,Aparicio,78,13521.0,40,1,True,38,Gerona,Cataluna,False,3,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,True,True,False,9,58,62,False,,39.8328076424886
9,12416,Fortunata,Vicens,80,20828.0,41,0,True,49,Pontevedra,Galicia,True,8,Casado,False,False,Grado 3,Leve,Sin delitos,False,False,False,False,116,59,106,False,,39.62
